_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PCODE,ward,PHONE,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,run_date,cwelcc_flag,geometry
1,1013,Lakeshore Community Child Care Centre,Non Profit Agency,101 SEVENTH ST,M8V 3B5,3,(416) 394-7601,Public Elementary School,Seventh Street Public School,0,20,32,52,60,164,Y,29NOV24,Y,"{""coordinates"": [[304461.6736678204, 4828886.751244307]], ""type"": ""MultiPoint""}"
2,1014,Alternative Primary School Parent Group,Non Profit Agency,1100 SPADINA RD,M5N 2M6,8,(416) 322-5385,Public Elementary School,North Preparatory Public School,0,0,12,26,45,83,Y,29NOV24,Y,"{""coordinates"": [[311217.52445671556, 4840648.182265595]], ""type"": ""MultiPoint""}"
3,1015,Cardinal Leger Child Care Centre (Scarborough),Non Profit Agency,600 MORRISH RD,M1C 4Y1,25,(416) 287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,50,102,Y,29NOV24,Y,"{""coordinates"": [[330917.8443684563, 4850419.696532816]], ""type"": ""MultiPoint""}"
4,1016,George Brown - Richmond Adelaide Childcare Centre,Non Profit Agency,130 ADELAIDE ST W,M5H 3P5,10,(416) 415-2453,Other,,10,15,40,0,0,65,Y,29NOV24,Y,"{""coordinates"": [[314173.2048282802, 4834421.111592339]], ""type"": ""MultiPoint""}"
5,1017,Woodland Nursery School (Warden Woods Community Centre),Non Profit Agency,1 FIRVALLEY CRT,M1L 1N8,20,(416) 694-1138x163,High Rise Apartment,,0,10,16,0,0,26,Y,29NOV24,Y,"{""coordinates"": [[322448.7442367275, 4840355.866061163]], ""type"": ""MultiPoint""}"
6,1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941 PROGRESS AVE,M1G 3T8,24,(416) 289-5000x2110,Community College/University,Centennial College Of Applied Arts & Technology,10,20,32,0,0,62,Y,29NOV24,Y,"{""coordinates"": [[326771.0477827111, 4849513.357611798]], ""type"": ""MultiPoint""}"
7,1029,Air-O-Down Child Care Centre,Non Profit Agency,7 HAWKSDALE RD,M3K 1W3,6,(416) 633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,29NOV24,Y,"{""coordinates"": [[306450.3307624186, 4843434.056293174]], ""type"": ""MultiPoint""}"
8,1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial Agency,20 GREENCREST CIRCT,M1G 1B8,24,(416) 431-2504,High Rise Apartment,Greencrest Property,0,0,16,0,30,46,Y,29NOV24,Y,"{""coordinates"": [[327070.3903617642, 4846526.357236443]], ""type"": ""MultiPoint""}"
9,1037,Tiago Avenue Community Child Care,Non Profit Agency,145 TIAGO AVE,M4B 2A6,19,(416) 285-5644,Public Elementary School,Victoria Park Public School,0,0,21,0,30,51,Y,29NOV24,Y,"{""coordinates"": [[321065.85425584175, 4841435.035679538]], ""type"": ""MultiPoint""}"
10,1041,Ledbury Park Child Care Program,Non Profit Agency,95 FALKIRK ST,M5M 4K1,8,(416) 782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,39,90,153,Y,29NOV24,Y,"{""coordinates"": [[310666.7781030876, 4843053.978661209]], ""type"": ""MultiPoint""}"
11,1044,Alderwood Action After School,Non Profit Agency,544 HORNER AVE,M8W 2C2,3,(416) 259-7738,Public Elementary School,Sir Adam Beck School,0,15,32,52,90,189,Y,29NOV24,Y,"{""coordinates"": [[300902.84358025144, 4829094.1599721955]], ""type"": ""MultiPoint""}"
12,1045,Children's Village Day Care Centre #1,Commercial Agency,1050 MARKHAM RD,M1H 2Y7,24,(416) 438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,29NOV24,Y,"{""coordinates"": [[326409.4736772771, 4848301.230507109]], ""type"": ""MultiPoint""}"
